dataset,counting_mode,count,videos,direct_accuracy,bbox_accuracy,delta,paired_delta_ci_low,paired_delta_ci_high,direct_micro_accuracy,bbox_micro_accuracy
heico,instances,487,10,0.46190969813378613,0.5439299325769579,0.08202023444317175,0.03047519621256834,0.13585328453964038,0.4455852156057495,0.5174537987679672
heico,classes,314,10,0.7281718281718281,0.7389510489510489,0.010779220779220777,-0.016703671328671302,0.038297077922077954,0.7643312101910829,0.7834394904458599
heico,target,525,10,0.5058707786497786,0.47115601388547185,-0.03471476476430674,-0.12220133173000287,0.07398878314204373,0.4552380952380952,0.41333333333333333
lapchole,instances,343,28,0.34529576399324297,0.329825922210376,-0.015469841782866978,-0.07318786649275094,0.04728514803357237,0.32653061224489793,0.3177842565597668
lapchole,classes,122,28,0.7285714285714285,0.6428571428571429,-0.08571428571428563,-0.15178571428571427,-0.02141369047619069,0.7213114754098361,0.6229508196721312
lapchole,target,303,28,0.3707407176157177,0.3028339220303506,-0.06790679558536711,-0.12348022760969188,-0.012721772275343723,0.3432343234323432,0.2871287128712871
