dataset,level,name,accuracy_direct,ci_low_direct,ci_high_direct,count_direct,accuracy_bbox_evaluator,ci_low_bbox_evaluator,ci_high_bbox_evaluator,count_bbox_evaluator,delta_evaluator,accuracy_bbox_isolated,delta_isolated
heico,overall,MEAN,0.66425,0.5787375,0.7382562500000001,4000,0.6685000000000001,0.5840000000000001,0.75076875,4000,0.004250000000000087,0.6689999999999999,0.004749999999999921
lapchole,overall,MEAN,0.5550650352733687,0.515298721340388,0.5954498732363316,2252,0.5409336419753086,0.4985419422398588,0.585599509479718,2252,-0.014131393298060124,0.5409336419753086,-0.014131393298060124
