dataset,count,videos,direct_accuracy,bbox_accuracy,delta,paired_delta_ci_low,paired_delta_ci_high,direct_micro_accuracy,bbox_micro_accuracy
heico,1326,10,0.535563858076805,0.5521487709499985,0.016584912873193525,-0.027592813187436675,0.07130339317256032,0.5248868778280543,0.5392156862745098
lapchole,768,28,0.4116326962443359,0.3655356975949905,-0.04609699864934541,-0.08471853500530853,-0.006768775980378128,0.3958333333333333,0.3541666666666667
