dataset,counting_mode,count,gold_mean,direct_prediction_mean,bbox_prediction_mean,direct_mae,bbox_mae,direct_undercount_rate,bbox_undercount_rate,direct_overcount_rate,bbox_overcount_rate
heico,instances,487,2.4763860369609856,2.1519507186858315,1.675564681724846,0.9404517453798767,0.9404517453798767,0.32854209445585214,0.41683778234086244,0.22587268993839835,0.06570841889117043
heico,classes,314,1.3375796178343948,1.2229299363057324,1.178343949044586,0.2356687898089172,0.21656050955414013,0.1751592356687898,0.18789808917197454,0.06050955414012739,0.028662420382165606
heico,target,525,2.8304761904761904,2.2933333333333334,1.6095238095238096,1.036190476190476,1.3314285714285714,0.34476190476190477,0.5371428571428571,0.2,0.049523809523809526
lapchole,instances,343,3.638483965014577,3.1486880466472305,2.3294460641399417,1.119533527696793,1.4256559766763848,0.4489795918367347,0.6443148688046647,0.22448979591836735,0.037900874635568516
lapchole,classes,122,1.7295081967213115,1.4754098360655739,1.2704918032786885,0.319672131147541,0.45901639344262296,0.2459016393442623,0.3770491803278688,0.03278688524590164,0.0
lapchole,target,303,3.5082508250825084,3.066006600660066,2.211221122112211,0.9966996699669967,1.4290429042904291,0.429042904290429,0.6600660066006601,0.22772277227722773,0.052805280528052806
