dataset,count,videos,direct_accuracy,bbox_accuracy,delta,paired_delta_ci_low,paired_delta_ci_high,direct_micro_accuracy,bbox_micro_accuracy
heico,4000,10,0.66425,0.6689999999999999,0.004749999999999921,-0.009500000000000031,0.022750000000000003,0.66425,0.669
lapchole,2252,28,0.5550650352733687,0.5409336419753086,-0.014131393298060124,-0.028797398589065267,0.0009098048941798862,0.5550621669626998,0.5408525754884547
